id,reactions,comments,shares
141108613290_10157148696308291,11516,436,443
272609309612079_885660538306950,11429,244,8
141108613290_10157067399198291,11360,276,463
272609309612079_977277959145207,11319,210,85
272609309612079_931938250345845,11301,297,25
272609309612079_870985839774420,11240,965,60
141108613290_10156912856178291,11234,220,1539
141108613290_10157023735563291,11115,535,346
272609309612079_955103438029326,10937,237,10
272609309612079_868953129977691,10923,293,21
272609309612079_959763057563364,10921,319,14
272609309612079_938035869736083,10885,333,174
141108613290_10157036281803291,10838,682,331
141108613290_10157132656863291,10668,461,2149
272609309612079_900693796803624,10609,1063,21
141108613290_10156812449618291,10244,734,456
272609309612079_918746818331655,10174,178,153
141108613290_10156891519988291,10164,296,1598
272609309612079_880085015531169,9924,312,72
272609309612079_968546933351643,9702,94,12
141108613290_10157137529713291,9640,805,1276
272609309612079_956864427853227,9582,226,29
141108613290_10156840195553291,9258,720,1839
141108613290_10156984159118291,9253,304,185
141108613290_10157052441978291,9209,468,328
272609309612079_890255664514104,9130,135,238
272609309612079_950600601812943,9035,273,68
141108613290_10157132453113291,9011,493,170
141108613290_10157145764418291,8996,490,665
141108613290_10157107849193291,8977,358,192
141108613290_10157151058158291,8882,1303,974
272609309612079_960259040847099,8787,291,2
141108613290_10156875760788291,8774,81,227
141108613290_10156745614868291,8673,386,215
272609309612079_935113250028345,8543,523,282
141108613290_10157074766433291,8325,554,5395
272609309612079_994187630787573,8221,552,9
272609309612079_968526436687026,8170,149,16
141108613290_10157069529123291,8119,188,202
141108613290_10157020853838291,8112,412,335
272609309612079_939049992968004,8032,273,5
141108613290_10156843566513291,7843,245,418
141108613290_10157064441983291,7836,725,447
272609309612079_971896846349985,7830,494,18
141108613290_10157081962478291,7791,408,1082
272609309612079_898902240316113,7638,171,27
272609309612079_870101679862836,7616,238,48
141108613290_317631722323399,7592,87,378
272609309612079_871251893081148,7442,245,10
272609309612079_944798169059853,7363,148,36
141108613290_10157087235723291,7347,235,873
141108613290_2414082005275273,7196,99,382
272609309612079_990636617809341,7178,612,17
141108613290_10156767148013291,7020,589,736
141108613290_10156924601958291,6987,99,423
141108613290_10156955205448291,6524,243,135
141108613290_10157057419573291,6502,277,1133
272609309612079_885793091627028,6457,138,14
272609309612079_880355288837475,6441,200,601
272609309612079_890144937858510,6392,288,24
141108613290_10157023560318291,6339,776,2141
141108613290_10156973978368291,6206,409,832
141108613290_10156958920163291,6195,210,242
141108613290_10157103385573291,6080,341,305
141108613290_10157071847683291,6044,355,1823
141108613290_10156911543503291,6016,529,526
141108613290_10157036418523291,6003,96,117
141108613290_10156986181218291,5890,111,76
272609309612079_865164377023233,5765,94,18
272609309612079_969701369902866,5681,164,145
272609309612079_937191893153814,5675,77,26
141108613290_10157036408008291,5654,90,248
141108613290_10156769435103291,5564,321,63
141108613290_10156866505983291,5408,698,872
141108613290_10156874660808291,5341,182,216
272609309612079_898702933669377,5309,165,86
141108613290_2109861322665695,5237,111,302
272609309612079_970775249795478,5233,172,41
141108613290_10156751939933291,5057,16,506
141108613290_10156958390643291,5043,643,280
141108613290_10156996094988291,5004,307,88
141108613290_10157056453403291,4971,167,134
272609309612079_899865646886439,4964,162,39
141108613290_10156955406413291,4959,134,140
141108613290_10156854296643291,4956,132,397
141108613290_10156761408998291,4925,378,347
272609309612079_907293102810360,4909,103,122
272609309612079_936642623208741,4850,1851,11
141108613290_10156972177243291,4847,131,145
141108613290_10157052485908291,4825,678,440
141108613290_10156776313598291,4822,60,178
141108613290_10156993591323291,4746,157,329
141108613290_10156868897648291,4714,310,87
141108613290_568574006906145,4681,75,1368
141108613290_10157033159063291,4561,172,103
141108613290_10156781855203291,4474,98,172
141108613290_10156784037383291,4437,655,252
141108613290_10156753854778291,4338,227,283
141108613290_10157072811903291,4219,185,410
141108613290_10157100907438291,4201,200,78
141108613290_10157006384008291,4183,250,317
141108613290_10156900005488291,4125,204,10
141108613290_10156805530463291,4091,349,256
141108613290_10156742755128291,4071,180,98
141108613290_10157004727513291,4067,114,276
141108613290_10156994423373291,3946,421,174
141108613290_10156776319338291,3907,365,977
141108613290_10157057035188291,3803,176,623
272609309612079_931626407043696,3798,99,201
141108613290_10156975841063291,3758,179,169
272609309612079_955842567955413,3745,116,46
141108613290_10156898819993291,3700,659,2803
141108613290_10157021534808291,3663,63,43
141108613290_10156913923788291,3644,130,416
141108613290_10157018568008291,3559,64,41
141108613290_10157035830363291,3516,75,25
272609309612079_871352199737784,3432,61,22
141108613290_10157130238988291,3425,68,352
141108613290_10157124991028291,3354,161,205
141108613290_10157030988623291,3318,122,91
141108613290_10156802809668291,3292,63,30
141108613290_10156961339333291,3260,19,43
141108613290_10156825474738291,3253,87,317
141108613290_10156792583308291,3231,62,159
141108613290_10156853984303291,3200,208,174
141108613290_10157129427933291,3195,129,179
141108613290_10156850831993291,3140,108,86
272609309612079_866134626926208,3137,121,38
141108613290_10156745693213291,3124,211,336
141108613290_10156751338783291,3065,62,365
141108613290_10156841190843291,3040,118,1649
141108613290_10156776755283291,3021,255,62
141108613290_10156773912718291,3017,83,195
141108613290_10157031351938291,2992,94,156
141108613290_10156961477868291,2976,221,67
141108613290_10156974262498291,2963,106,73
141108613290_10156749450413291,2907,109,52
141108613290_10156743058778291,2868,65,120
141108613290_10156849119343291,2828,68,143
141108613290_10156896913788291,2818,264,124
141108613290_10156815629393291,2807,95,492
141108613290_1734143613364945,2749,59,396
141108613290_10157112369458291,2745,112,100
141108613290_10157148391748291,2729,88,58
141108613290_10156741469088291,2696,131,38
141108613290_2353630554648352,2687,48,178
141108613290_10157124371498291,2647,127,54
141108613290_10157035444873291,2646,47,1066
141108613290_305922166828582,2618,22,146
141108613290_10157021778228291,2612,398,196
141108613290_1729762977150274,2535,108,293
141108613290_10156751728968291,2496,39,303
141108613290_10156848702028291,2460,47,20
141108613290_10156992042998291,2433,50,66
141108613290_10156911597123291,2429,64,108
141108613290_10156779588668291,2324,33,36
141108613290_10156955549908291,2256,255,396
141108613290_10156915491848291,2226,26,86
141108613290_10157100366788291,2206,67,225
141108613290_10156810785933291,2183,155,200
141108613290_10157011207393291,2165,157,101
141108613290_10156812604428291,2143,53,84
141108613290_10157088639838291,2116,125,73
141108613290_10156812655183291,2097,32,56
141108613290_10156763802943291,2070,56,364
141108613290_10156901211253291,2046,37,74
141108613290_10156958625063291,2039,50,105
141108613290_10156921681658291,2034,95,64
141108613290_10156812012708291,2017,94,46
141108613290_10156754011403291,1998,27,11
141108613290_333347493901198,1994,35,142
141108613290_10156807376583291,1965,118,118
141108613290_10156969635478291,1948,225,128
141108613290_10156867556773291,1918,64,58
141108613290_10156984687778291,1917,48,470
141108613290_10156753865058291,1884,109,41
141108613290_10157155722913291,1878,157,98
141108613290_10156840654628291,1852,83,42
141108613290_10157074267458291,1834,111,14
141108613290_10156776908638291,1788,108,94
141108613290_10157095474223291,1785,104,72
141108613290_10157018637913291,1738,203,68
141108613290_10157006727023291,1733,363,495
141108613290_10156993610598291,1727,122,112
141108613290_10156745747508291,1637,56,78
141108613290_10156981192643291,1577,36,4
141108613290_10156984230123291,1570,62,35
141108613290_10156828569038291,1550,136,117
141108613290_10156906568943291,1547,66,3
141108613290_10157127500088291,1535,139,56
141108613290_10157047371838291,1525,56,22
141108613290_10156810278883291,1524,96,60
141108613290_10156872405653291,1469,13,29
141108613290_10156759106348291,1423,102,27
141108613290_10156779369503291,1378,104,85
141108613290_10156807811398291,1372,105,51
141108613290_10156902063138291,1365,45,23
141108613290_10156857280413291,1359,18,39
141108613290_10156836335868291,1314,50,637
141108613290_10157117810793291,1260,53,306
141108613290_10156822778808291,1258,100,56
141108613290_10156881093828291,1214,40,165
141108613290_10156958818133291,1206,76,17
141108613290_10156916919213291,1200,33,91
141108613290_10157090630353291,1170,47,33
141108613290_10156827522988291,1140,32,432
141108613290_1135774463228795,1132,113,161
141108613290_10156823701603291,1124,58,90
141108613290_10157109691343291,1096,25,19
141108613290_10156750892503291,1085,21,45
141108613290_10156790305758291,1083,40,126
141108613290_10157107334433291,1045,82,6
141108613290_10156812721883291,1036,23,234
141108613290_10156880173628291,1033,32,211
141108613290_10156890946978291,1010,51,141
141108613290_10156825110108291,1005,29,79
141108613290_10156749319868291,986,34,101
141108613290_10157070140043291,978,275,23
141108613290_10156812017388291,966,39,295
141108613290_10156741285138291,962,28,9
141108613290_10156906569473291,931,16,3
141108613290_10156814660518291,930,13,77
141108613290_10156858609928291,911,47,48
141108613290_10156924011163291,909,55,83
141108613290_10157042803798291,879,87,38
141108613290_10156835079688291,838,21,257
141108613290_10157139736978291,818,100,22
141108613290_10156845076823291,817,81,99
141108613290_10156916886803291,779,32,144
141108613290_10156758599283291,771,43,22
141108613290_10156758891458291,746,5,20
141108613290_10156868920833291,736,49,24
141108613290_10157153819933291,727,19,35
141108613290_10156976450423291,721,52,142
141108613290_10156776286428291,709,106,44
141108613290_10157148079538291,700,52,47
141108613290_10157043130603291,692,16,25
141108613290_10156958247418291,687,45,43
141108613290_10156861401653291,680,16,22
141108613290_10156869640923291,633,12,28
141108613290_10156782072678291,629,10,103
141108613290_10156969338623291,619,10,22
141108613290_10157006582373291,583,97,20
141108613290_10156880054328291,579,40,34
141108613290_10156825737238291,576,30,27
141108613290_10156794451328291,573,14,44
141108613290_10156996433878291,522,7,11
141108613290_10157134715748291,484,39,20
141108613290_10157098462638291,462,20,10
141108613290_10157074619493291,451,41,49
141108613290_10157099946348291,404,33,18
141108613290_10157006864818291,400,16,5
141108613290_10157087480378291,372,23,2
141108613290_10157120772638291,366,13,1
141108613290_10156886935323291,363,6,5
141108613290_10157003385363291,351,4,11
141108613290_10156966874633291,313,26,10
141108613290_10157005764193291,313,3,23
141108613290_10157095611258291,246,15,30
141108613290_10156889129313291,227,2,48
141108613290_10156778946643291,211,5,14
141108613290_338800960025889,112,13,4
